"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48000","0","10","50","0","2020","A","",736150,12069431,758744722504,112867756516,1969943114,1209,62865,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21168,3.0,-520975,-4.1,5917172798,0.8,-4175167722,-3.6,-351060870,-15.1,59,5.1,3071,5.1
"48000","1","10","51","0","2020","A","",3709,214502,17449829830,0,0,1564,81350,"",0.86,0.84,0.82,0.00,0.00,0.97,0.97,"",80,2.2,10379,5.1,1036873265,6.3,0,0.0,0,0.0,18,1.2,943,1.2
"48000","1","101","52","0","2020","A","",3,2947,222021595,0,0,1449,75340,"",0.35,0.62,0.55,0.00,0.00,0.89,0.89,"",0,0.0,98,3.4,12846224,6.1,0,0.0,0,0.0,37,2.6,1915,2.6
"48000","1","1013","53","0","2020","A","",3,2947,222021595,0,0,1449,75340,"",0.91,0.67,0.59,0.00,0.00,0.88,0.88,"",0,0.0,98,3.4,12846224,6.1,0,0.0,0,0.0,37,2.6,1915,2.6
"48000","1","102","52","0","2020","A","",3706,211555,17227808235,0,0,1566,81434,"",0.86,0.85,0.82,0.00,0.00,0.97,0.97,"",80,2.2,10280,5.1,1024027041,6.3,0,0.0,0,0.0,18,1.2,928,1.2
"48000","1","1021","53","0","2020","A","",1653,49621,3204694696,0,0,1242,64584,"",0.78,0.85,0.86,0.00,0.00,1.01,1.01,"",-6,-0.4,-190,-0.4,49934928,1.6,0,0.0,0,0.0,24,2.0,1249,2.0
"48000","1","1022","53","0","2020","A","",15,170,11584479,0,0,1308,68011,"",1.66,0.30,0.24,0.00,0.00,0.83,0.83,"",0,0.0,-19,-10.1,-541160,-4.5,0,0.0,0,0.0,75,6.1,3882,6.1
"48000","1","1023","53","0","2020","A","",49,894,123817192,0,0,2663,138459,"",0.90,0.85,0.96,0.00,0.00,1.13,1.13,"",-1,-2.0,3,0.3,3009669,2.5,0,0.0,0,0.0,55,2.1,2835,2.1
"48000","1","1024","53","0","2020","A","",107,4178,330779829,0,0,1523,79181,"",1.04,0.70,0.61,0.00,0.00,0.88,0.88,"",0,0.0,78,1.9,15775032,5.0,0,0.0,0,0.0,45,3.0,2346,3.1
"48000","1","1025","53","0","2020","A","",79,37445,3208092613,0,0,1648,85675,"",0.82,1.01,1.02,0.00,0.00,1.00,1.00,"",1,1.3,-334,-0.9,115315825,3.7,0,0.0,0,0.0,74,4.7,3810,4.7
"48000","1","1026","53","0","2020","A","",101,2460,83595208,0,0,653,33978,"",0.95,0.63,0.42,0.00,0.00,0.67,0.67,"",-3,-2.9,-113,-4.4,-834862,-1.0,0,0.0,0,0.0,22,3.5,1160,3.5
"48000","1","1027","53","0","2020","A","",8,121,6928583,0,0,1100,57222,"",0.69,0.31,0.31,0.00,0.00,1.00,1.00,"",0,0.0,-14,-10.4,-491314,-6.6,0,0.0,0,0.0,44,4.2,2294,4.2
"48000","1","1028","53","0","2020","A","",1694,116666,10258315635,0,0,1691,87929,"",0.95,0.82,0.78,0.00,0.00,0.95,0.95,"",88,5.5,10869,10.3,841858923,8.9,0,0.0,0,0.0,-21,-1.2,-1076,-1.2
