"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"56000","0","10","50","0","2020","A","",27330,260903,13303545012,4854243561,48886009,981,50990,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",600,2.2,-16211,-5.8,-519014132,-3.8,-266668087,-5.2,-27566561,-36.1,22,2.3,1110,2.2
"56000","1","10","51","0","2020","A","",411,7785,547622470,0,0,1353,70348,"",2.57,1.42,1.46,0.00,0.00,1.03,1.03,"",5,1.2,229,3.0,30062916,5.8,0,0.0,0,0.0,36,2.7,1853,2.7
"56000","1","102","52","0","2020","A","",411,7785,547622470,0,0,1353,70348,"",2.58,1.44,1.49,0.00,0.00,1.03,1.03,"",5,1.2,229,3.0,30062916,5.8,0,0.0,0,0.0,36,2.7,1853,2.7
"56000","1","1021","53","0","2020","A","",140,1063,61725659,0,0,1117,58058,"",1.78,0.85,0.95,0.00,0.00,1.12,1.12,"",-1,-0.7,-10,-0.9,951167,1.6,0,0.0,0,0.0,28,2.6,1427,2.5
"56000","1","1023","53","0","2020","A","",8,29,2447972,0,0,1609,83691,"",3.97,1.28,1.08,0.00,0.00,0.84,0.84,"",0,0.0,1,3.6,106562,4.6,0,0.0,0,0.0,6,0.4,317,0.4
"56000","1","1024","53","0","2020","A","",8,88,8813906,0,0,1926,100158,"",2.10,0.68,0.93,0.00,0.00,1.37,1.37,"",0,0.0,1,1.1,84596,1.0,0,0.0,0,0.0,-4,-0.2,-179,-0.2
"56000","1","1025","53","0","2020","A","",12,1686,132681474,0,0,1513,78700,"",3.34,2.11,2.40,0.00,0.00,1.14,1.14,"",0,0.0,63,3.9,12290258,10.2,0,0.0,0,0.0,87,6.1,4537,6.1
"56000","1","1026","53","0","2020","A","",16,859,52601470,0,0,1177,61218,"",4.05,10.10,14.95,0.00,0.00,1.48,1.48,"",0,0.0,-87,-9.2,-998520,-1.9,0,0.0,0,0.0,87,8.0,4528,8.0
"56000","1","1028","53","0","2020","A","",227,4059,289351989,0,0,1371,71288,"",3.42,1.32,1.26,0.00,0.00,0.95,0.95,"",5,2.3,260,6.8,17628853,6.5,0,0.0,0,0.0,-4,-0.3,-235,-0.3
"56000","1","22","54","0","2020","A","",1,12,1652920,0,0,2649,137743,"",2.45,0.56,0.71,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,157123,10.5,0,0.0,0,0.0,201,8.2,10441,8.2
"56000","1","221","55","0","2020","A","",1,12,1652920,0,0,2649,137743,"",2.45,0.56,0.71,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,157123,10.5,0,0.0,0,0.0,201,8.2,10441,8.2
"56000","1","2211","56","0","2020","A","",1,12,1652920,0,0,2649,137743,"",2.54,0.60,0.74,0.00,0.00,1.23,1.24,"",0,0.0,0,0.0,157123,10.5,0,0.0,0,0.0,201,8.2,10441,8.2
"56000","1","22112","57","0","2020","A","",1,12,1652920,0,0,2649,137743,"",4.86,2.33,2.75,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,157123,10.5,0,0.0,0,0.0,201,8.2,10441,8.2
"56000","1","221121","58","0","2020","A","",1,12,1652920,0,0,2649,137743,"",9.60,3.22,3.67,0.00,0.00,1.14,1.14,"",0,0.0,0,0.0,157123,10.5,0,0.0,0,0.0,201,8.2,10441,8.2
"56000","1","44-45","54","0","2020","A","",4,42,1523945,0,0,701,36429,"",2.30,0.51,0.68,0.00,0.00,1.34,1.34,"",0,0.0,0,0.0,-38549,-2.5,0,0.0,0,0.0,-23,-3.2,-1221,-3.2
"56000","1","441","55","0","2020","A","",1,2,28541,0,0,274,14271,"",9.60,8.33,5.28,0.00,0.00,0.63,0.64,"",0,0.0,0,0.0,1616,6.0,0,0.0,0,0.0,35,14.6,1844,14.8
"56000","1","4413","56","0","2020","A","",1,2,28541,0,0,274,14271,"",9.60,8.33,5.28,0.00,0.00,0.63,0.64,"",0,0.0,0,0.0,1616,6.0,0,0.0,0,0.0,35,14.6,1844,14.8
"56000","1","44131","57","0","2020","A","",1,2,28541,0,0,274,14271,"",9.60,8.33,5.28,0.00,0.00,0.63,0.64,"",0,0.0,0,0.0,1616,6.0,0,0.0,0,0.0,35,14.6,1844,14.8
"56000","1","441310","58","0","2020","A","",1,2,28541,0,0,274,14271,"",9.60,8.33,5.28,0.00,0.00,0.63,0.64,"",0,0.0,0,0.0,1616,6.0,0,0.0,0,0.0,35,14.6,1844,14.8
"56000","1","442","55","0","2020","A","",2,5,128604,0,0,540,28059,"",13.96,11.80,13.98,0.00,0.00,1.29,1.29,"",0,0.0,0,0.0,-18869,-12.8,0,0.0,0,0.0,16,3.1,833,3.1
"56000","1","4422","56","0","2020","A","",2,5,128604,0,0,540,28059,"",14.22,13.60,15.47,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,-18869,-12.8,0,0.0,0,0.0,16,3.1,833,3.1
"56000","1","44229","57","0","2020","A","",2,5,128604,0,0,540,28059,"",14.22,13.60,15.47,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,-18869,-12.8,0,0.0,0,0.0,16,3.1,833,3.1
"56000","1","442299","58","0","2020","A","",2,5,128604,0,0,540,28059,"",14.22,13.60,15.47,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,-18869,-12.8,0,0.0,0,0.0,16,3.1,833,3.1
"56000","1","445","55","0","2020","A","",1,35,1366800,0,0,746,38774,"",1.93,1.68,1.83,0.00,0.00,1.08,1.08,"",0,0.0,1,2.9,-21296,-1.5,0,0.0,0,0.0,-41,-5.2,-2153,-5.3
"56000","1","4451","56","0","2020","A","",1,35,1366800,0,0,746,38774,"",1.94,1.68,1.83,0.00,0.00,1.08,1.08,"",0,0.0,1,2.9,-21296,-1.5,0,0.0,0,0.0,-41,-5.2,-2153,-5.3
"56000","1","44511","57","0","2020","A","",1,35,1366800,0,0,746,38774,"",2.22,1.78,1.90,0.00,0.00,1.06,1.06,"",0,0.0,1,2.9,-21296,-1.5,0,0.0,0,0.0,-41,-5.2,-2153,-5.3
"56000","1","445110","58","0","2020","A","",1,35,1366800,0,0,746,38774,"",2.22,1.78,1.90,0.00,0.00,1.06,1.06,"",0,0.0,1,2.9,-21296,-1.5,0,0.0,0,0.0,-41,-5.2,-2153,-5.3
"56000","1","48-49","54","0","2020","A","",135,1009,58548794,0,0,1116,58007,"",1.76,0.87,0.97,0.00,0.00,1.11,1.11,"",-1,-0.7,-11,-1.1,832593,1.4,0,0.0,0,0.0,28,2.6,1418,2.5
"56000","1","491","55","0","2020","A","",135,1009,58548794,0,0,1116,58007,"",1.77,0.89,1.01,0.00,0.00,1.13,1.13,"",-1,-0.7,-11,-1.1,832593,1.4,0,0.0,0,0.0,28,2.6,1418,2.5
"56000","1","4911","56","0","2020","A","",135,1009,58548794,0,0,1116,58007,"",1.77,0.89,1.01,0.00,0.00,1.13,1.13,"",-1,-0.7,-11,-1.1,832593,1.4,0,0.0,0,0.0,28,2.6,1418,2.5
"56000","1","49111","57","0","2020","A","",135,1009,58548794,0,0,1116,58007,"",1.77,0.89,1.01,0.00,0.00,1.13,1.13,"",-1,-0.7,-11,-1.1,832593,1.4,0,0.0,0,0.0,28,2.6,1418,2.5
"56000","1","491110","58","0","2020","A","",135,1009,58548794,0,0,1116,58007,"",1.77,0.89,1.01,0.00,0.00,1.13,1.13,"",-1,-0.7,-11,-1.1,832593,1.4,0,0.0,0,0.0,28,2.6,1418,2.5
"56000","1","52","54","0","2020","A","",8,29,2447972,0,0,1609,83691,"",4.01,1.28,1.08,0.00,0.00,0.84,0.84,"",0,0.0,1,3.6,106562,4.6,0,0.0,0,0.0,6,0.4,317,0.4
"56000","1","522","55","0","2020","A","",8,29,2447972,0,0,1609,83691,"",4.87,2.72,2.91,0.00,0.00,1.06,1.06,"",0,0.0,1,3.6,106562,4.6,0,0.0,0,0.0,6,0.4,317,0.4
"56000","1","5222","56","0","2020","A","",8,29,2447972,0,0,1609,83691,"",4.88,2.72,2.91,0.00,0.00,1.06,1.06,"",0,0.0,1,3.6,106562,4.6,0,0.0,0,0.0,6,0.4,317,0.4
"56000","1","52229","57","0","2020","A","",8,29,2447972,0,0,1609,83691,"",4.88,2.72,2.91,0.00,0.00,1.06,1.06,"",0,0.0,1,3.6,106562,4.6,0,0.0,0,0.0,6,0.4,317,0.4
"56000","1","522292","58","0","2020","A","",1,4,406145,0,0,2180,113343,"",1.33,0.80,1.27,0.00,0.00,1.76,1.76,"",0,0.0,0,0.0,-19054,-4.5,0,0.0,0,0.0,136,6.7,7043,6.6
"56000","1","522298","58","0","2020","A","",7,26,2041827,0,0,1530,79552,"",9.37,6.09,5.08,0.00,0.00,0.85,0.85,"",0,0.0,2,8.3,125616,6.6,0,0.0,0,0.0,0,0.0,-14,0.0
"56000","1","54","54","0","2020","A","",8,88,8813906,0,0,1926,100158,"",2.35,0.70,0.94,0.00,0.00,1.35,1.35,"",0,0.0,1,1.1,84596,1.0,0,0.0,0,0.0,-4,-0.2,-179,-0.2
"56000","1","541","55","0","2020","A","",8,88,8813906,0,0,1926,100158,"",2.35,0.70,0.94,0.00,0.00,1.35,1.35,"",0,0.0,1,1.1,84596,1.0,0,0.0,0,0.0,-4,-0.2,-179,-0.2
"56000","1","5413","56","0","2020","A","",3,21,1621340,0,0,1497,77824,"",1.45,0.21,0.23,0.00,0.00,1.09,1.09,"",0,0.0,2,10.5,58730,3.8,0,0.0,0,0.0,-64,-4.1,-3351,-4.1
"56000","1","54133","57","0","2020","A","",2,16,1307151,0,0,1539,80030,"",0.97,0.17,0.19,0.00,0.00,1.12,1.12,"",0,0.0,1,6.7,54599,4.4,0,0.0,0,0.0,-94,-5.8,-4889,-5.8
